Using device: cuda



/projects/lude4390/software/anaconda/envs/SpokenEnglish/lib/python3.10/site-packages/torch/nn/modules/transformer.py:382: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
Epoch 1: Train Loss: 1.6015 | Val Loss: 1.5814 | Val F1: 0.083
Epoch 2: Train Loss: 1.5706 | Val Loss: 1.5532 | Val F1: 0.096
Epoch 3: Train Loss: 1.5449 | Val Loss: 1.5338 | Val F1: 0.096
Epoch 4: Train Loss: 1.5274 | Val Loss: 1.5171 | Val F1: 0.096
Epoch 5: Train Loss: 1.5141 | Val Loss: 1.5028 | Val F1: 0.096
Epoch 6: Train Loss: 1.5030 | Val Loss: 1.4968 | Val F1: 0.096
Epoch 7: Train Loss: 1.4964 | Val Loss: 1.4913 | Val F1: 0.096
Epoch 8: Train Loss: 1.4914 | Val Loss: 1.4866 | Val F1: 0.096
Epoch 9: Train Loss: 1.4847 | Val Loss: 1.4844 | Val F1: 0.096
Epoch 10: Train Loss: 1.4853 | Val Loss: 1.4821 | Val F1: 0.096
Epoch 11: Train Loss: 1.4804 | Val Loss: 1.4802 | Val F1: 0.096
Epoch 12: Train Loss: 1.4835 | Val Loss: 1.4793 | Val F1: 0.096
Epoch 13: Train Loss: 1.4813 | Val Loss: 1.4783 | Val F1: 0.096
Epoch 14: Train Loss: 1.4800 | Val Loss: 1.4773 | Val F1: 0.096
Epoch 15: Train Loss: 1.4740 | Val Loss: 1.4769 | Val F1: 0.096
